"gene","major_cell_type","gene_present","median_cells_per_sample_file","mean_log1p_cpm","fraction_expressing","display_panel"
"TNF","macrophage",TRUE,170,0.433504178317324,0.685714285714286,"Inflammatory VSMC-associated genes"
"TNF","vsmc",TRUE,85,0.0126958010496437,0.0451612903225806,"Inflammatory VSMC-associated genes"
"TNF","endothelial",TRUE,23,0.0372199163965137,0.299363057324841,"Inflammatory VSMC-associated genes"
"TNF","fibroblast",TRUE,112,0.00661763612937202,0.0416666666666667,"Inflammatory VSMC-associated genes"
"TNF","t_nk",TRUE,9,0.508488257136144,0.65,"Inflammatory VSMC-associated genes"
"TNF","b_cell",TRUE,13,0.365058677975372,0.555555555555556,"Inflammatory VSMC-associated genes"
"TNF","mast",TRUE,11,0.448457364382938,0.583333333333333,"Inflammatory VSMC-associated genes"
"TNF","unassigned",TRUE,42,0.142859665060532,0.333333333333333,"Inflammatory VSMC-associated genes"
"IL1B","macrophage",TRUE,170,0.904091259516954,0.855670103092783,"Inflammatory VSMC-associated genes"
"IL1B","vsmc",TRUE,85,0.0224196731806127,0.166666666666667,"Inflammatory VSMC-associated genes"
"IL1B","endothelial",TRUE,23,0.0750549193724279,0.372881355932203,"Inflammatory VSMC-associated genes"
"IL1B","fibroblast",TRUE,112,0.0164740531150543,0.0833333333333333,"Inflammatory VSMC-associated genes"
"IL1B","t_nk",TRUE,9,0.440303958970792,0.7,"Inflammatory VSMC-associated genes"
"IL1B","b_cell",TRUE,13,0.697018069619937,0.692307692307692,"Inflammatory VSMC-associated genes"
"IL1B","mast",TRUE,11,0.454796473658695,0.833333333333333,"Inflammatory VSMC-associated genes"
"IL1B","unassigned",TRUE,42,0.325281870862238,0.433962264150943,"Inflammatory VSMC-associated genes"
