"Package","Version","LibPath"
"class","7.3-23","C:/Program Files/R/R-4.6.0/library"
"cluster","2.1.8.2","C:/Program Files/R/R-4.6.0/library"
"codetools","0.2-20","C:/Program Files/R/R-4.6.0/library"
"compiler","4.6.0","C:/Program Files/R/R-4.6.0/library"
"datasets","4.6.0","C:/Program Files/R/R-4.6.0/library"
"foreign","0.8-91","C:/Program Files/R/R-4.6.0/library"
"graphics","4.6.0","C:/Program Files/R/R-4.6.0/library"
"grDevices","4.6.0","C:/Program Files/R/R-4.6.0/library"
"grid","4.6.0","C:/Program Files/R/R-4.6.0/library"
"KernSmooth","2.23-26","C:/Program Files/R/R-4.6.0/library"
"lattice","0.22-9","C:/Program Files/R/R-4.6.0/library"
"MASS","7.3-65","C:/Program Files/R/R-4.6.0/library"
"Matrix","1.7-5","C:/Program Files/R/R-4.6.0/library"
"methods","4.6.0","C:/Program Files/R/R-4.6.0/library"
"mgcv","1.9-4","C:/Program Files/R/R-4.6.0/library"
"nlme","3.1-169","C:/Program Files/R/R-4.6.0/library"
"nnet","7.3-20","C:/Program Files/R/R-4.6.0/library"
"parallel","4.6.0","C:/Program Files/R/R-4.6.0/library"
"rpart","4.1.27","C:/Program Files/R/R-4.6.0/library"
"spatial","7.3-18","C:/Program Files/R/R-4.6.0/library"
"splines","4.6.0","C:/Program Files/R/R-4.6.0/library"
"stats","4.6.0","C:/Program Files/R/R-4.6.0/library"
"stats4","4.6.0","C:/Program Files/R/R-4.6.0/library"
"survival","3.8-6","C:/Program Files/R/R-4.6.0/library"
"tcltk","4.6.0","C:/Program Files/R/R-4.6.0/library"
"tools","4.6.0","C:/Program Files/R/R-4.6.0/library"
"translations","4.6.0","C:/Program Files/R/R-4.6.0/library"
"utils","4.6.0","C:/Program Files/R/R-4.6.0/library"
